Data,PBEE_Hidroelectr,PBEE_Carbo,PBEE_GasNat,PBEE_Fuel-Oil,PBEE_CiclComb,PBEE_Nuclear,CDEEBC_ProdBruta,CDEEBC_ConsumAux,CDEEBC_ProdNeta,CDEEBC_ConsumBomb,CDEEBC_ProdDisp,CDEEBC_TotVendesXarxaCentral,CDEEBC_SaldoIntercanviElectr,CDEEBC_DemandaElectr,CDEEBC_TotalEBCMercatRegulat,CDEEBC_TotalEBCMercatLliure,FEE_Industria,FEE_Terciari,FEE_Domestic,FEE_Primari,FEE_Energetic,FEEI_ConsObrPub,FEEI_SiderFoneria,FEEI_Metalurgia,FEEI_IndusVidre,FEEI_CimentsCalGuix,FEEI_AltresMatConstr,FEEI_QuimPetroquim,FEEI_ConstrMedTrans,FEEI_RestaTransforMetal,FEEI_AlimBegudaTabac,FEEI_TextilConfecCuirCalçat,FEEI_PastaPaperCartro,FEEI_AltresIndus,DGGN_PuntFrontEnagas,DGGN_DistrAlimGNL,DGGN_ConsumGNCentrTerm,CCAC_GasolinaAuto,CCAC_GasoilA
02/2022,130.9,0,0,0,418.2,2127.3,2676.3,96.8,2579.5,12.1,2567.4,678.2,226,3471.7,0.0%,100.0%,,,,,,,,,,,,,,,,,,,5513,27.3,929.3,78.6,324.8
03/2022,160.8,0,0,0,409.6,2351.8,2922.3,110,2812.2,15.6,2796.6,676,283.3,3755.8,0.0%,100.0%,,,,,,,,,,,,,,,,,,,5851.3,24.5,913.3,84.2,339.9
04/2022,261.5,0,0,0,406.4,2024.3,2692.1,100.4,2591.7,24.8,2566.9,651.9,156.8,3375.6,0.0%,100.0%,,,,,,,,,,,,,,,,,,,4505.9,17.9,907.8,85.9,330.3
05/2022,386.1,0,0,0,546,1574.1,2506.1,86.1,2420,21.6,2398.4,631.4,429.5,3459.3,0.0%,100.0%,,,,,,,,,,,,,,,,,,,4182.8,7.9,1141.3,92.1,337.6
01/2005,213.8,93.9,147.2,148.8,862.9,2298.2,3764.9,144.2,3620.7,61.9,3558.8,563,106.3,4228.1,60.6%,39.4%,1258,1107,968.1,28.8,16.5,24.1,96,13.4,29,67.2,32.3,359.8,48.7,119.4,133.7,104,69.3,161.2,9058.5,31.2,2223.3,97.3,283.9
02/2005,186.5,93.8,197.3,94.5,855.2,2087.2,3514.5,129.8,3384.7,56,3328.7,492.3,177.2,3998.3,59.1%,40.9%,1324.1,1147.1,1039.9,29,18.2,25.8,106,14.2,31.5,68.4,35,351.9,54.8,135.8,133.5,110.6,75.3,181.3,8737.7,29.7,2296.7,95.5,300.3
03/2005,256.9,108.2,161,198.6,785.2,1628.3,3138.3,130.4,3007.9,68.1,2939.8,511.7,607.4,4058.8,58.0%,42.0%,1366.6,1111.8,963.9,28.3,17,27.8,137.3,15.5,26.3,64,35.9,347.5,59.9,143.7,131.2,115.3,72.3,189.8,7812.7,24.7,2095.3,111.4,322.9
04/2005,279.9,40.4,143.1,4.4,765.8,1244.6,2478.1,90.3,2387.9,55.1,2332.8,518.5,871.2,3722.5,54.5%,45.5%,1440.9,1133.4,926.3,30.1,18.4,25.1,143.4,15.3,30.5,62.8,37.3,397.9,63.9,139.4,138.7,119.4,76.9,190.1,6603.4,14.4,1973.6,106.2,323.8
05/2005,477.2,106.7,157.8,1.2,548,1437.6,2728.5,111.6,2616.9,55.1,2561.8,537.5,623.2,3722.6,52.6%,47.4%,1475.4,1062.6,791.2,30.3,18.4,24,150.6,15.7,29.8,65.9,35.2,424.8,61.9,139,144.6,114.8,75.6,193.4,5749.1,9.1,1632.9,112.6,330.1
06/2005,423.4,113.8,230.9,5.6,627.9,1381.9,2783.5,122.6,2660.9,64.3,2596.6,520.1,803.6,3920.3,52.7%,47.3%,1539.4,1086.7,690.6,32.5,18.7,21.5,150.6,15,32.1,68.8,36.2,477.1,64.3,137.7,151.3,116,74.5,194.4,5722.7,8.3,2054.3,114.6,323.8
