ANY,Codi municipi,Nom municipi,Comarca,Província,Núm instal·lacions,Potència (kW),Producció bruta (kWh),Consums propis (kWh),Producció neta (kWh),Consums bombament (kWh),Produccció disponible (kWh),Autoconsum (kWh),Vendes a la xarxa (kWh),Distribució pròpia (kWh),Energia tèrmica recuperada (Kcal)
2010,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,4,3005.9,"4,540,152.00",0,"4,540,152.00",0,"4,540,152.00",0,"4,540,152.00",0,0
2011,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,4,3005.9,"4,195,294.00",0,"4,195,294.00",0,"4,195,294.00",0,"4,195,294.00",0,0
2012,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,5,3805.9,"4,450,818.00",0,"4,450,818.00",0,"4,450,818.00",0,"4,450,818.00",0,0
2013,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,5,3805.9,"5,432,686.00",0,"5,432,686.00",0,"5,432,686.00",0,"5,432,686.00",0,0
2014,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,5,3805.9,"5,184,391.00",0,"5,184,391.00",0,"5,184,391.00",0,"5,184,391.00",0,0
2015,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,5,3805.9,"5,071,675.00",0,"5,071,675.00",0,"5,071,675.00",0,"5,071,675.00",0,0
2016,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,6,4130.9,"225,740.00","10,610.00","215,130.00",0,"215,130.00","215,130.00",0,0,"125,617,671.00"
2017,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,6,4130.9,"225,603.00","10,603.00","215,000.00",0,"215,000.00","215,000.00",0,0,"125,541,434.00"
2018,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,6,4130.9,"543,000.00","57,000.00","486,000.00",0,"486,000.00","486,000.00",0,0,"647,580,000.00"
2010,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,25003,AGRAMUNT,URGELL,LLEIDA,4,156.5,"258,620.00",0,"258,620.00",0,"258,620.00",0,"258,620.00",0,0
2011,25003,AGRAMUNT,URGELL,LLEIDA,7,216.7,"348,852.00",0,"348,852.00",0,"348,852.00",0,"348,852.00",0,0
2012,25003,AGRAMUNT,URGELL,LLEIDA,8,235.9,"380,327.00",0,"380,327.00",0,"380,327.00",0,"380,327.00",0,0
2013,25003,AGRAMUNT,URGELL,LLEIDA,9,255.9,"419,364.00",0,"419,364.00",0,"419,364.00",0,"419,364.00",0,0
2014,25003,AGRAMUNT,URGELL,LLEIDA,9,255.9,"372,498.00",0,"372,498.00",0,"372,498.00",0,"372,498.00",0,0
2015,25003,AGRAMUNT,URGELL,LLEIDA,9,255.9,"409,978.00",0,"409,978.00",0,"409,978.00",0,"409,978.00",0,0
2016,25003,AGRAMUNT,URGELL,LLEIDA,9,255.9,0,0,0,0,0,0,0,0,0
2017,25003,AGRAMUNT,URGELL,LLEIDA,9,255.9,0,0,0,0,0,0,0,0,0
2018,25003,AGRAMUNT,URGELL,LLEIDA,9,255.9,0,0,0,0,0,0,0,0,0
2010,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
