number_of_uses,word,word_type
64015,the,DT
51313,and,CC
34635,of,IN
13567,to,TO
12784,that,IN
12503,in,IN
10261,he,PRP
9838,shall,MD
8987,unto,IN
8810,for,IN
8708,i,PRP
8450,his,PRP$
8176,a,DT
7297,they,PRP
6854,be,VB
6852,is,VBZ
6002,with,IN
5883,not,RB
5432,all,DT
5202,thou,NN
4739,lord,NNP
4698,it,PRP
4600,thy,JJ
4454,was,VBD
4394,which,WDT
4368,my,PRP$
3952,but,CC
3931,their,PRP$
3882,have,VBP
3848,ye,NN
3780,will,MD
3641,from,IN
3511,as,IN
3508,them,PRP
3166,him,PRP
2922,are,VBP
2832,when,WRB
2734,upon,IN
2716,were,VBD
2601,this,DT
2577,by,IN
2483,out,IN
2303,god,NNP
2285,said,VBD
2242,hath,NN
2125,then,RB
2073,there,EX
2012,into,IN
1993,had,VBD
1991,came,VBD
1978,man,NN
1965,on,IN
1898,up,RP
1894,son,NN
1823,one,CD
1809,we,PRP
1793,king,NN
1779,me,PRP
1778,your,PRP$
1766,before,IN
1699,an,DT
1664,against,IN
1616,shalt,NN
1602,come,VB
1588,if,IN
1588,children,NNS
1565,at,IN
1561,so,RB
1533,her,PRP$
1530,thee,NN
1518,also,RB
1506,let,VB
1351,no,DT
1333,made,VBD
1333,even,RB
1328,went,VBD
1315,house,NN
1266,go,VB
1236,every,DT
1229,people,NNS
1215,do,VB
1200,because,IN
1167,saith,VBD
1166,you,PRP
1165,our,PRP$
1163,now,RB
1162,these,DT
1154,after,IN
1143,land,NN
1111,men,NNS
1107,or,CC
1098,israel,NNP
1082,therefore,RB
1065,o,NNP
1060,hast,NN
1059,day,NN
1049,make,VB
1026,may,MD
971,what,WP
968,she,PRP
961,over,IN
948,who,WP
936,did,VBD
916,among,IN
908,put,VBD
904,thine,JJ
900,any,DT
876,neither,CC
870,great,JJ
864,hand,NN
861,give,VB
856,take,VB
853,brought,VBD
848,down,RP
839,sons,NNS
833,am,VBP
799,us,PRP
796,according,VBG
792,two,CD
791,things,NNS
783,should,MD
777,jesus,NNP
755,whom,WP
755,nor,CC
742,took,VBD
736,forth,NN
722,bring,VB
714,thus,RB
708,know,VBP
694,david,NNP
685,set,VBN
669,yet,RB
660,say,VBP
658,like,IN
655,sent,VBD
654,name,NN
612,away,RB
595,mine,JJ
578,called,VBD
574,heard,VBD
573,own,JJ
562,word,NN
554,days,NNS
551,father,NN
541,how,WRB
529,more,RBR
526,spake,NN
525,saw,VBD
522,holy,JJ
511,good,JJ
509,hundred,VBD
497,cast,VBD
495,eat,VB
485,see,VB
483,moses,NNP
482,given,VBN
481,than,IN
479,many,JJ
478,art,NN
469,heart,NN
464,gave,VBD
463,those,DT
450,city,NN
444,seven,CD
444,about,IN
442,would,MD
442,three,CD
441,through,IN
437,evil,JJ
436,time,NN
434,might,MD
423,other,JJ
416,speak,VB
414,done,VBN
411,thousand,NN
409,pass,VB
404,hear,VB
403,place,NN
396,way,NN
392,where,WRB
386,under,IN
386,answered,VBD
385,again,RB
383,without,IN
377,commanded,VBD
373,judah,NNP
368,first,JJ
368,words,NNS
367,offering,NN
366,thing,NN
366,until,IN
365,off,RP
360,burnt,JJ
356,found,VBN
351,keep,VB
351,both,DT
348,midst,NN
346,toward,IN
342,spirit,NN
336,high,JJ
333,himself,PRP
331,years,NNS
331,none,NN
328,earth,NN
328,fear,NN
326,voice,NN
323,five,CD
322,thereof,NN
322,been,VBN
321,cities,NNS
320,wherefore,IN
318,dwell,VB
318,cut,VBN
315,right,JJ
315,round,NN
314,whose,WP$
313,stood,VBD
312,priest,NN
306,servant,NN
295,four,CD
292,same,JJ
290,work,NN
290,pray,VBP
290,soul,NN
289,deliver,VB
287,taken,VBN
287,being,VBG
285,hands,NNS
283,young,JJ
282,blood,NN
282,cause,VB
282,king’s,NULL
280,sin,NN
279,turn,VB
278,surely,RB
278,twenty,NN
277,eyes,NNS
276,told,VBD
276,law,NN
275,why,WRB
273,face,NN
273,servants,NNS
273,fire,NN
271,blessed,VBD
270,glory,NN
269,left,VBN
266,side,NN
265,themselves,PRP
265,turned,VBD
265,laid,VBD
264,old,JJ
264,kings,NNS
264,delivered,VBD
261,saul,NNP
259,chief,JJ
257,very,RB
256,gathered,VBN
255,much,JJ
255,priests,NNS
254,year,NN
253,kingdom,NN
251,christ,NNP
247,another,DT
246,mighty,NN
246,daughter,NN
244,such,JJ
243,destroy,VB
242,jerusalem,NNP
241,concerning,VBG
